ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
4969,Tamil Nadu,Thoothukkudi,JEYASINGH THIYAGARAJ NATTERJEE.J,All India Anna Dravida Munnetra Kazhagam,366052
4970,Tamil Nadu,Thoothukkudi,JEGAN. P,Dravida Munnetra Kazhagam,242050
4971,Tamil Nadu,Thoothukkudi,JOEL. S,Marumalarchi Dravida Munnetra Kazhagam,182191
4972,Tamil Nadu,Thoothukkudi,SHANMUGAM, A.P.C.V.,Indian National Congress
4973,Tamil Nadu,Thoothukkudi,PUSHPARAYAN.M.,Aam Aadmi Party,26476
4974,Tamil Nadu,Thoothukkudi,MOHANRAJ. A,Communist Party of India,14993
4975,Tamil Nadu,Thoothukkudi,AYYADURAI. S,Bahujan Samaj Party,3205
4976,Tamil Nadu,Thoothukkudi,ALWARSAMY KARTHIKEYAN.L,Independent,1727
4977,Tamil Nadu,Thoothukkudi,SAMUEL. A.S.,Independent,1157
4978,Tamil Nadu,Thoothukkudi,PANNEERSELVAM.C,Independent,1129
4979,Tamil Nadu,Thoothukkudi,VINSTON ANTO. S,Independent,983
4980,Tamil Nadu,Thoothukkudi,RAMKUMAR. V,Independent,784
4981,Tamil Nadu,Thoothukkudi,SANTHADEVI. S,Independent,765
4982,Tamil Nadu,Thoothukkudi,ANANDHARAJ, M.,Independent
4983,Tamil Nadu,Thoothukkudi,None of the Above,None of the Above,11447
4984,Tamil Nadu,Tenkasi,VASANTHI.M,All India Anna Dravida Munnetra Kazhagam,424586
4985,Tamil Nadu,Tenkasi,DR.KRISHNASAMY.K.,Puthiya Tamilagam,262812
4986,Tamil Nadu,Tenkasi,DR.SADHAN THIRUMALAIKUMAR.T.,Marumalarchi Dravida Munnetra Kazhagam,190233
4987,Tamil Nadu,Tenkasi,DR.JAYAKUMAR.K.,Indian National Congress,58963
4988,Tamil Nadu,Tenkasi,LINGAM.P,Communist Party of India,23528
4989,Tamil Nadu,Tenkasi,KRISHNASAMY.A.,Independent,12115
4990,Tamil Nadu,Tenkasi,GUNASEKARAN.K.,Tamil Nadu Makkal Congress,8022
4991,Tamil Nadu,Tenkasi,RADHAKRISHNAN.S.,Independent,3904
4992,Tamil Nadu,Tenkasi,MANMATHAN,M.,Independent
4993,Tamil Nadu,Tenkasi,KANNAN,Bahujan Samaj Party,2917
4994,Tamil Nadu,Tenkasi,MUNEESWARAN,Independent,2513
4995,Tamil Nadu,Tenkasi,MAGESH.S.,Independent,2163
4996,Tamil Nadu,Tenkasi,GANESAN.S.,Independent,1809
4997,Tamil Nadu,Tenkasi,JANAGAR RAJA,Independent,1777
4998,Tamil Nadu,Tenkasi,POONGANI.J.,Samata Party,1454
4999,Tamil Nadu,Tenkasi,VELLADURAI.P.,Independent,1216
5000,Tamil Nadu,Tenkasi,ALAGUMALAI.V.,Independent,1215
5001,Tamil Nadu,Tenkasi,MEENASHISUNDARAVADIVEL.T.,Communist Party of India (Marxist-Leninist) Red Star,888
5002,Tamil Nadu,Tenkasi,None of the Above,None of the Above,14492
5003,Tamil Nadu,Tirunelveli,PRABAKARAN.K.R.P,All India Anna Dravida Munnetra Kazhagam,398139
5004,Tamil Nadu,Tirunelveli,DEVADASA SUNDARAM,Dravida Munnetra Kazhagam,272040
5005,Tamil Nadu,Tirunelveli,SIVANANENTHAPERUMAL.S.,Desiya Murpokku Dravida Kazhagam,127370
5006,Tamil Nadu,Tirunelveli,RAMASUBBU.S.S,Indian National Congress,62863
5007,Tamil Nadu,Tirunelveli,DHEVANATHAN YADAV.T.,Tamil Nadu Makkal Congress,19381
5008,Tamil Nadu,Tirunelveli,SESURAJ.M.P,Aam Aadmi Party,18353
5009,Tamil Nadu,Tirunelveli,MOHAMED MUBARAK.V.M.S,SOCIAL DEMOCRATIC PARTY OF INDIA,14877
5010,Tamil Nadu,Tirunelveli,THEVENDRAN.T.,Bahujan Samaj Party,4692
5011,Tamil Nadu,Tirunelveli,DEVADOSS.A.R,Independent,3394
5012,Tamil Nadu,Tirunelveli,SELVAGANAPATHY.G,Independent,3233
5013,Tamil Nadu,Tirunelveli,DHANARAJ.R.,Indian Christian Secular Party,3062
5014,Tamil Nadu,Tirunelveli,MOHAN.T,Independent,2518
5015,Tamil Nadu,Tirunelveli,LAKSHMANAN @ LAKKAN.A,Independent,1850
5016,Tamil Nadu,Tirunelveli,PATHMANABAN.K,Independent,1823
5017,Tamil Nadu,Tirunelveli,SUBRAMANIAN @ S.S.S.MANI.S,Independent,1751
5018,Tamil Nadu,Tirunelveli,RAJI YADAV,Independent,1579
5019,Tamil Nadu,Tirunelveli,GERMANUS.S,Independent,1446
5020,Tamil Nadu,Tirunelveli,RAJAMARAVAN @ MANICKAVASAGAM.S,Independent,1391
5021,Tamil Nadu,Tirunelveli,VEILUMUTHUKUMAR.P,Independent,1387
5022,Tamil Nadu,Tirunelveli,SURESH KUMAR.S,Independent,1281
5023,Tamil Nadu,Tirunelveli,DR.GANESAN.M,Independent,1262
5024,Tamil Nadu,Tirunelveli,SUBRAMANIAN.K,Independent,1196
5025,Tamil Nadu,Tirunelveli,MURUGAN.S,Independent,1159
5026,Tamil Nadu,Tirunelveli,VENKATESH.A,Independent,1052
5027,Tamil Nadu,Tirunelveli,RAJESHKANNAN,Independent,947
5028,Tamil Nadu,Tirunelveli,SARAVANAN.P,Independent,740
5029,Tamil Nadu,Tirunelveli,ELIZABETH.D,Independent,651
5030,Tamil Nadu,Tirunelveli,None of the Above,None of the Above,12893
5031,Tamil Nadu,Kanniyakumari,RADHAKRISHNAN P.,Bharatiya Janata Party,372906
5032,Tamil Nadu,Kanniyakumari,VASANTHA KUMAR H.,Indian National Congress,244244
5033,Tamil Nadu,Kanniyakumari,JOHN THANKAM D.,All India Anna Dravida Munnetra Kazhagam,176239
5034,Tamil Nadu,Kanniyakumari,RAAJARATHINUM F.M.,Dravida Munnetra Kazhagam,117933
5035,Tamil Nadu,Kanniyakumari,BELLARMIN A.V.,Communist Party of India (Marxist),35284
5036,Tamil Nadu,Kanniyakumari,UDAYAKUMAR S.P.,Aam Aadmi Party,15314
5037,Tamil Nadu,Kanniyakumari,NAGOOR MEERAN PEER MOHAMEAD U.,Independent,3851
5038,Tamil Nadu,Kanniyakumari,JAWAHAR J.,Bahujan Samaj Party,3236
5039,Tamil Nadu,Kanniyakumari,NALLA THAMPY C.,Independent,2391
5040,Tamil Nadu,Kanniyakumari,BALA SUBRAMANIAN T.,Independent,1737
5041,Tamil Nadu,Kanniyakumari,ANTHONY MUTHU,Communist Party of India (Marxist-Leninist) (Liberation),1647
5042,Tamil Nadu,Kanniyakumari,MANIKANDAN I.,Independent,1557
5043,Tamil Nadu,Kanniyakumari,VASANTHA KUMAR L.,Independent,1474
5044,Tamil Nadu,Kanniyakumari,RAJESH KUMAR K.R.,Independent,1437
5045,Tamil Nadu,Kanniyakumari,PADMANABHAN S.,Independent,1246
5046,Tamil Nadu,Kanniyakumari,KAMARAJ K.,Independent,955
5047,Tamil Nadu,Kanniyakumari,SEETHARAMADHAS P.,Independent,930
5048,Tamil Nadu,Kanniyakumari,VASANTHEESVARAN E.,Independent,791
5049,Tamil Nadu,Kanniyakumari,KAMARAJ G.,Independent,591
5050,Tamil Nadu,Kanniyakumari,SARASWATHI S.,Independent,536
5051,Tamil Nadu,Kanniyakumari,RADHAKRISHNAN T.,Independent,534
5052,Tamil Nadu,Kanniyakumari,JOSE BILBIN J.,Independent,504
5053,Tamil Nadu,Kanniyakumari,PAULRAJ C.M.,Communist Party of India (Marxist-Leninist) Red Star,436
5054,Tamil Nadu,Kanniyakumari,WILSON I.,Independent,421
5055,Tamil Nadu,Kanniyakumari,SHALIN RICHARD J.,Indians Victory Party,398
5056,Tamil Nadu,Kanniyakumari,None of the Above,None of the Above,4150
5057,Tripura,Tripura West,SANKAR PRASAD DATTA,Communist Party of India (Marxist),671665
5058,Tripura,Tripura West,ARUNODAY SAHA,Indian National Congress,168179
5059,Tripura,Tripura West,RATAN CHAKRABORTI,All India Trinamool Congress,117727
5060,Tripura,Tripura West,SUDHINDRA CHANDRA DASGUPTA,Bharatiya Janata Party,54706
5061,Tripura,Tripura West,BINAY DEBBARMA,Indigenousn People's Front Of Tripura,11040
5062,Tripura,Tripura West,ARUN KUMAR BHOWMIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8202
5063,Tripura,Tripura West,JOGANATI DATTA,Independent,5947
5064,Tripura,Tripura West,SALIL SAHA,Aam Aadmi Party,4981
5065,Tripura,Tripura West,SUBAL BHOWMIK,Tripura Pragatishil Gramin Congress,4690
5066,Tripura,Tripura West,PARTHA KARMAKAR,Communist Party of India (Marxist-Leninist) (Liberation),4226
5067,Tripura,Tripura West,KAMAL KANTI DEBNATH,Independent,3747
5068,Tripura,Tripura West,RAKHAL RAJ DATTA,Amra Bangalee,2879
5069,Tripura,Tripura West,PJECH DEBBARMA,Jai Maha Bharath Party,2061
5070,Tripura,Tripura West,None of the Above,None of the Above,12699
5071,Tripura,Tripura East,JITENDRA CHOUDHURY,Communist Party of India (Marxist),623771
5072,Tripura,Tripura East,SACHITRA DEBBARMA,Indian National Congress,139413
5073,Tripura,Tripura East,BHRIGURAM REANG,All India Trinamool Congress,77028
5074,Tripura,Tripura East,PARIKSHIT DEBBARMA,Bharatiya Janata Party,60613
5075,Tripura,Tripura East,NARENDRA CHANDRA DEB BARMA,Indigenousn People's Front Of Tripura,10286
5076,Tripura,Tripura East,PRABIDDHA REANG,Independent,5066
5077,Tripura,Tripura East,KARNA BIJOY JAMATIA,Aam Aadmi Party,4871
5078,Tripura,Tripura East,FALGUNI TRIPURA,Communist Party of India (Marxist-Leninist) (Liberation),4444
5079,Tripura,Tripura East,BASU MOG,Tripura Pragatishil Gramin Congress,4262
5080,Tripura,Tripura East,SUBARNA MALA DEBBARMA,Amra Bangalee,4152
5081,Tripura,Tripura East,BIKASH DEBBARMA,Jai Maha Bharath Party,3116
5082,Tripura,Tripura East,PATAL KANYA JAMATIA,Independent,3004
5083,Tripura,Tripura East,None of the Above,None of the Above,11084
5084,Uttar Pradesh,Saharanpur,RAGHAV LAKHANPAL,Bharatiya Janata Party,472999
5085,Uttar Pradesh,Saharanpur,IMRAN MASOOD,Indian National Congress,407909
5086,Uttar Pradesh,Saharanpur,JAGDISH SINGH RANA,Bahujan Samaj Party,235033
5087,Uttar Pradesh,Saharanpur,SHAZAN MASOOD URF SHADAN MASOOD,Samajwadi Party,52765
5088,Uttar Pradesh,Saharanpur,HANSRAJ SAINI,Independent,4068
5089,Uttar Pradesh,Saharanpur,SESHRAJ,Independent,4057
5090,Uttar Pradesh,Saharanpur,YOGESH KUMAR,Aam Aadmi Party,3065
5091,Uttar Pradesh,Saharanpur,CP VERMA,Independent,2114
5092,Uttar Pradesh,Saharanpur,SHIV KUMAR,Ambedkar Samaj Party,1888
5093,Uttar Pradesh,Saharanpur,RATAN SINGH,Bahujan Mukti Party,1366
5094,Uttar Pradesh,Saharanpur,RAGHUVEER SINGH BODH,Independent,1066
5095,Uttar Pradesh,Saharanpur,MOHD. FIROZ AFTAB,Independent,692
5096,Uttar Pradesh,Saharanpur,SHAHANAVAJ,Rashtriya Janmorcha,553
5097,Uttar Pradesh,Saharanpur,RAJENDER KUMAR,Adarsh Rashtriya Vikas Party,466
5098,Uttar Pradesh,Saharanpur,None of the Above,None of the Above,6267
5099,Andhra Pradesh,Kadapa,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,671983
5100,Andhra Pradesh,Kadapa,SRINIVASA REDDY REDDEPPAGARI,Telugu Desam,481660
5101,Andhra Pradesh,Kadapa,AJAYA KUMAR VEENA,Indian National Congress,14319
5102,Andhra Pradesh,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,Bahujan Samaj Party,5515
5103,Andhra Pradesh,Kadapa,YELLIPALEM RAMESH.REDDY,Janata Dal (United),3809
5104,Andhra Pradesh,Kadapa,SAJID HUSSAIN,Aam Aadmi Party,3401
5105,Andhra Pradesh,Kadapa,DR. SHAIK GHOUSE PEER,Jai Samaikyandhra Party,3219
5106,Andhra Pradesh,Kadapa,B. PULLAIAH,Ambedkar National Congress,2565
5107,Andhra Pradesh,Kadapa,VARADI SOBHARANI,Dalita Bahujana Party,2240
5108,Andhra Pradesh,Kadapa,GAJJALA.RAMA SUBBA REDDY,Pyramid Party of India,1821
5109,Andhra Pradesh,Kadapa,POREDDY PRABHAKARA REDDY,Independent,1217
5110,Andhra Pradesh,Kadapa,RACHINENI. VENUGOPAL,Rashtriya Praja Congress (Secular),1034
5111,Andhra Pradesh,Kadapa,PUTHA. LAKSHMI REDDY,All India Forward Bloc,933
5112,Andhra Pradesh,Kadapa,G.V.A.K. REDDY,Janata Dal (Secular),888
5113,Andhra Pradesh,Kadapa,None of the Above,None of the Above,6058
5114,Uttar Pradesh,Kairana,HUKUM SINGH,Bharatiya Janata Party,565909
5115,Uttar Pradesh,Kairana,NAHID HASAN,Samajwadi Party,329081
5116,Uttar Pradesh,Kairana,KANWAR HASAN,Bahujan Samaj Party,160414
5117,Uttar Pradesh,Kairana,KARTAR SINGH BHADANA,Rashtriya Lok Dal,42706
5118,Uttar Pradesh,Kairana,DIVAKAR KASHYAP,All India Trinamool Congress,6562
5119,Uttar Pradesh,Kairana,KRISHANPAL,Independent,2971
5120,Uttar Pradesh,Kairana,SUNIL KUMAR KASANA,Aam Aadmi Party,2663
5121,Uttar Pradesh,Kairana,MOHANLAL,Independent,1741
5122,Uttar Pradesh,Kairana,RAMKARAN KASHYAP,Bhartiya Vanchitsamaj Party,1378
5123,Uttar Pradesh,Kairana,PARDIP,Bahujan Mukti Party,1050
5124,Uttar Pradesh,Kairana,SUNITA,Janata Dal (United),946
5125,Uttar Pradesh,Kairana,None of the Above,None of the Above,3903
5126,Uttar Pradesh,Muzaffarnagar,(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janata Party,653391
5127,Uttar Pradesh,Muzaffarnagar,KADIR RANA,Bahujan Samaj Party,252241
5128,Uttar Pradesh,Muzaffarnagar,VIRENDER SINGH,Samajwadi Party,160810
5129,Uttar Pradesh,Muzaffarnagar,PANKAJ AGARWAL,Indian National Congress,12937
5130,Uttar Pradesh,Muzaffarnagar,RAJESH DEVI ALIAS RADHIKA BALIYAN,All India Trinamool Congress,4129
5131,Uttar Pradesh,Muzaffarnagar,RAKESH,Independent,3482
5132,Uttar Pradesh,Muzaffarnagar,PHOOL SINGH PAL,Independent,3431
5133,Uttar Pradesh,Muzaffarnagar,ANIL KUMAR,Bahujan Mukti Party,2238
5134,Uttar Pradesh,Muzaffarnagar,MOHAMMED YAMIN,Aam Aadmi Party,1931
5135,Uttar Pradesh,Muzaffarnagar,SHANDAR GUFRAN,Independent,1864
5136,Uttar Pradesh,Muzaffarnagar,GUFRAN AHMAD,Independent,1682
5137,Uttar Pradesh,Muzaffarnagar,JAGBIR SINGH,Independent,845
5138,Uttar Pradesh,Muzaffarnagar,NASEEM AHMAD ANSARI,Independent,750
5139,Uttar Pradesh,Muzaffarnagar,ANKUR,Independent,723
5140,Uttar Pradesh,Muzaffarnagar,MO. YAMIN,All India Ravidas Samata Party,543
5141,Uttar Pradesh,Muzaffarnagar,LALIT CHAUHAN,Janata Dal (United),499
5142,Uttar Pradesh,Muzaffarnagar,SHABNAM,Independent,487
5143,Uttar Pradesh,Muzaffarnagar,MANGE RAM KASHYAP,Majdoor Kisan Union Party,362
5144,Uttar Pradesh,Muzaffarnagar,CHATAR SINGH KASHYAP,Vanchit Jamat Party,350
5145,Uttar Pradesh,Muzaffarnagar,None of the Above,None of the Above,4739
5146,Uttar Pradesh,Bijnor,KUNWAR BHARTENDRA,Bharatiya Janata Party,486913
5147,Uttar Pradesh,Bijnor,SHAHNAWAZ RANA,Samajwadi Party,281139
5148,Uttar Pradesh,Bijnor,MALOOK NAGAR,Bahujan Samaj Party,230124
5149,Uttar Pradesh,Bijnor,JAYA PRADA NAHATA,Rashtriya Lok Dal,24348
5150,Uttar Pradesh,Bijnor,MOHAMMAD MOOSA,Peace Party,15801
5151,Uttar Pradesh,Bijnor,GAJRESH KUMAR,Independent,3317
5152,Uttar Pradesh,Bijnor,UMESH ALIES PANI,Independent,2967
5153,Uttar Pradesh,Bijnor,KAMAL,Independent,2545
5154,Uttar Pradesh,Bijnor,GAURAV,Aam Aadmi Party,2483
5155,Uttar Pradesh,Bijnor,UDAY ALIES UDAYVEER,Bharatiya Momin Front,2456
5156,Uttar Pradesh,Bijnor,MOHAMAD ADEEB,Rashtrawadi Samaj Party,1756
5157,Uttar Pradesh,Bijnor,PARVEZ AQIL,All India Minorities Front,722
5158,Uttar Pradesh,Bijnor,None of the Above,None of the Above,5775
5159,Uttar Pradesh,Nagina,YASHWANT SINGH,Bharatiya Janata Party,367825
5160,Uttar Pradesh,Nagina,YASHVIR SINGH,Samajwadi Party,275435
5161,Uttar Pradesh,Nagina,GIRISH CHANDRA,Bahujan Samaj Party,245685
5162,Uttar Pradesh,Nagina,SHEESHRAM SINGH RAVI,Peace Party,21334
5163,Uttar Pradesh,Nagina,BHAGWAN DASS RATHOR,Mahan Dal,4581
5164,Uttar Pradesh,Nagina,SUNIL,Independent,4328
5165,Uttar Pradesh,Nagina,SARIKA,Aam Aadmi Party,3695
5166,Uttar Pradesh,Nagina,SHAMSHER,Independent,3577
5167,Uttar Pradesh,Nagina,OMPRAKASH RAVI,Shivsena,2967
5168,Uttar Pradesh,Nagina,TEJ SINGH,Ambedkar Samaj Party,1845
5169,Uttar Pradesh,Nagina,ASARPAT SINGH,Independent,1714
5170,Uttar Pradesh,Nagina,MANJU DEVI,Lok Dal,1027
5171,Uttar Pradesh,Nagina,SHARISHTHA KUMAR SINGH,Jai Maha Bharath Party,861
5172,Uttar Pradesh,Nagina,VINOD KUMAR,Bahujan Mukti Party,852
5173,Uttar Pradesh,Nagina,None of the Above,None of the Above,6470
5174,Uttar Pradesh,Moradabad,KUNWER SARVESH KUMAR,Bharatiya Janata Party,485224
5175,Uttar Pradesh,Moradabad,DR S T HASAN,Samajwadi Party,397720
5176,Uttar Pradesh,Moradabad,HAJI MOHD YAQOOB,Bahujan Samaj Party,160945
5177,Uttar Pradesh,Moradabad,ENGINEER MOHAMMAD IRFAN,Peace Party,25840
5178,Uttar Pradesh,Moradabad,BEGUM NOOR BANO URF MEHTAB,Indian National Congress,19732
5179,Uttar Pradesh,Moradabad,SAURABH PRATAP SINGH,All India Trinamool Congress,5647
5180,Uttar Pradesh,Moradabad,VIMAL KUMAR,Aam Aadmi Party,4469
5181,Uttar Pradesh,Moradabad,HARIOM,Naya Daur Party,4097
5182,Uttar Pradesh,Moradabad,NAFISUDDIN,Communist Party of India (Marxist),3180
5183,Uttar Pradesh,Moradabad,AMIT KUMAR,Bahujan Mukti Party,3047
5184,Uttar Pradesh,Moradabad,SANDEEP KUMAR,Sarva Samaj Kalyan Party,2971
5185,Uttar Pradesh,Moradabad,SATISH CHANDRA SHARMA,Naitik Party,2267
5186,Uttar Pradesh,Moradabad,TEAJ SINGH SAINI,Rashtriya Samanta Dal,1710
5187,Uttar Pradesh,Moradabad,JAIPAL SINGH SAINI,Shivsena,1334
5188,Uttar Pradesh,Moradabad,ROOPA CHANDRA SINGH,Independent,1282
5189,Uttar Pradesh,Moradabad,RAJ KUMAR GUPTA,Independent,1278
5190,Uttar Pradesh,Moradabad,KAMAR ALAM,Indian Bahujan Samajwadi Party,1059
5191,Uttar Pradesh,Moradabad,MOHD ZAFAR IQBAL,Akhil Bharatiya Muslim League (Secular),956
5192,Uttar Pradesh,Moradabad,None of the Above,None of the Above,5207
5193,Uttar Pradesh,Rampur,DR. NEPAL SINGH,Bharatiya Janata Party,358616
5194,Uttar Pradesh,Rampur,NASEER AHMAD KHAN,Samajwadi Party,335181
5195,Uttar Pradesh,Rampur,NAWAB KAZIM ALI KHAN,Indian National Congress,156466
5196,Uttar Pradesh,Rampur,AKBAR HUSAIN,Bahujan Samaj Party,81006
5197,Uttar Pradesh,Rampur,JANNAT NISHA,All India Minorities Front,4473
5198,Uttar Pradesh,Rampur,JAGMOHAN,Independent,2505
5199,Uttar Pradesh,Rampur,NAVED MIAN,Independent,2448
5200,Uttar Pradesh,Rampur,VIJENDRA SINGH,Rashtriya Congress (Babu Jagjivanram),2079
5201,Uttar Pradesh,Rampur,TEJPAL SINGH,Independent,2063
5202,Uttar Pradesh,Rampur,SYED SALMAN ALI,Aam Aadmi Party,1996
5203,Uttar Pradesh,Rampur,JAGDISH SARAN SAGAR,Independent,1834
5204,Uttar Pradesh,Rampur,AKBAR MASOOD,Independent,817
5205,Uttar Pradesh,Rampur,None of the Above,None of the Above,6905
5206,Uttar Pradesh,Sambhal,SATYAPAL SINGH,Bharatiya Janata Party,360242
5207,Uttar Pradesh,Sambhal,DR SHAFIQ- UR RAHMAN BARQ,Samajwadi Party,355068
5208,Uttar Pradesh,Sambhal,AQEEL-UR -REHMAN KHAN,Bahujan Samaj Party,252640
5209,Uttar Pradesh,Sambhal,DHARAM YADAV URF D.P.YADAV,Rashtriya Parivartan Dal,36134
5210,Uttar Pradesh,Sambhal,ACHARYA PRAMOD KRISHNAM,Indian National Congress,16034
5211,Uttar Pradesh,Sambhal,NUTAN VIJAY ADVOCATE,Independent,6686
5212,Uttar Pradesh,Sambhal,DR. RASHID ALI,Peace Party,6376
5213,Uttar Pradesh,Sambhal,MOHD ASLAM URF PASHA,Republican Party of India (A),3833
5214,Uttar Pradesh,Sambhal,FIROZ HAIDER,Independent,3648
5215,Uttar Pradesh,Sambhal,RASHID,Independent,2791
5216,Uttar Pradesh,Sambhal,NANAD RAM KHADAGVANSHI,Independent,2322
5217,Uttar Pradesh,Sambhal,AQEEL AHMAD,Independent,2005
5218,Uttar Pradesh,Sambhal,REKHA DEVI YADAV,Sanyukt Samajwadi Dal,1565
5219,Uttar Pradesh,Sambhal,None of the Above,None of the Above,7658
5220,Uttar Pradesh,Amroha,KANWAR SINGH TANWAR,Bharatiya Janata Party,528880
5221,Uttar Pradesh,Amroha,HUMERA AKHTAR,Samajwadi Party,370666
5222,Uttar Pradesh,Amroha,FARHAT HASAN,Bahujan Samaj Party,162983
5223,Uttar Pradesh,Amroha,RAKESH TIKAIT,Rashtriya Lok Dal,9539
5224,Uttar Pradesh,Amroha,SYED KALBE RUSHAID RIZVI,Aam Aadmi Party,2601
5225,Uttar Pradesh,Amroha,NARESH KUMAR,Independent,2493
5226,Uttar Pradesh,Amroha,KHAJAN SINGH,Rashtriya Congress (Babu Jagjivanram),2448
5227,Uttar Pradesh,Amroha,SURENDRA SINGH,Independent,2425
5228,Uttar Pradesh,Amroha,NARESH CHAND,Independent,1431
5229,Uttar Pradesh,Amroha,SARVESH KUMAR SAINI,Shivsena,980
5230,Uttar Pradesh,Amroha,HUSNEIN RAZAA,New All India Congress Party,858
5231,Uttar Pradesh,Amroha,BRAJLAL,Bahujan Mukti Party,837
5232,Uttar Pradesh,Amroha,RAKESH,Peace Party,749
5233,Uttar Pradesh,Amroha,MAHESH,Republican Party of India (A),713
5234,Uttar Pradesh,Amroha,RAJPAL,Adarsh Rashtriya Vikas Party,478
5235,Uttar Pradesh,Amroha,None of the Above,None of the Above,7779
5236,Uttar Pradesh,Meerut,RAJENDRA AGARWAL,Bharatiya Janata Party,532981
5237,Uttar Pradesh,Meerut,MOHD.SHAHID AKHLAK,Bahujan Samaj Party,300655
5238,Uttar Pradesh,Meerut,SHAHID MANZOOR,Samajwadi Party,211759
5239,Uttar Pradesh,Meerut,NAGMA,Indian National Congress,42911
5240,Uttar Pradesh,Meerut,DR. (EX. MAJ) HIMANSHU SINGH,Aam Aadmi Party,11793
5241,Uttar Pradesh,Meerut,SUNIL DUTT,Independent,1734
5242,Uttar Pradesh,Meerut,MUKESH KUMAR,Independent,1542
5243,Uttar Pradesh,Meerut,MOHD.USMAN GHAZI,Rashtriya Apna Dal,1451
5244,Uttar Pradesh,Meerut,MOHD. SAJID SAIFI,Bahujan Mukti Party,1063
5245,Uttar Pradesh,Meerut,ATUL KHODAWAL,Independent,818
5246,Uttar Pradesh,Meerut,IQRA CHOUDHARY,Independent,734
5247,Uttar Pradesh,Meerut,APHAJAL,Independent,382
5248,Uttar Pradesh,Meerut,ANIL,Independent,348
5249,Uttar Pradesh,Meerut,None of the Above,None of the Above,5213
5250,Uttar Pradesh,Baghpat,DR. SATYA PAL SINGH,Bharatiya Janata Party,423475
5251,Uttar Pradesh,Baghpat,GHULAM MOHAMMED,Samajwadi Party,213609
5252,Uttar Pradesh,Baghpat,AJIT SINGH,Rashtriya Lok Dal,199516
5253,Uttar Pradesh,Baghpat,PRASHANT CHAUDHRI,Bahujan Samaj Party,141743
5254,Uttar Pradesh,Baghpat,SOMENDAR DHAKA,Aam Aadmi Party,5828
5255,Uttar Pradesh,Baghpat,JAIVINDRA KUMAR,Independent,3915
5256,Uttar Pradesh,Baghpat,ANIL KUMAR,Peace Party,3025
5257,Uttar Pradesh,Baghpat,NISHANT,Independent,2708
5258,Uttar Pradesh,Baghpat,RUKSANA,Independent,2092
5259,Uttar Pradesh,Baghpat,SUBHASH CHAND KASHYAP,Independent,1967
5260,Uttar Pradesh,Baghpat,ARVIND,Independent,992
5261,Uttar Pradesh,Baghpat,KRISHAN PAL,Naitik Party,601
5262,Uttar Pradesh,Baghpat,YUNUSH,Navbharat Nirman Party,441
5263,Uttar Pradesh,Baghpat,AJAY PAL,Independent,440
5264,Uttar Pradesh,Baghpat,None of the Above,None of the Above,3911
5265,Andhra Pradesh,Nellore,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party,576396
5266,Andhra Pradesh,Nellore,ADALA PRABHAKARA REDDY,Telugu Desam,562918
5267,Andhra Pradesh,Nellore,NARAYANA REDDY VAKATI,Indian National Congress,22870
5268,Andhra Pradesh,Nellore,SYED HANEEF,Jai Samaikyandhra Party,5578
5269,Andhra Pradesh,Nellore,CHANDRA SEKHAR YADAV,Rajyadhikara Party,4112
5270,Andhra Pradesh,Nellore,PATTAPU RAVI,Bahujan Samaj Party,3299
5271,Andhra Pradesh,Nellore,CHEMIKALA TIRUPATI,Andhra Rastra Praja Samithi,1424
5272,Andhra Pradesh,Nellore,KOLATI GOPINATH,Pyramid Party of India,999
5273,Andhra Pradesh,Nellore,MALYADRI RAVULAKOLLU,Independent,875
5274,Andhra Pradesh,Nellore,MEDA MALLA REDDY,Independent,820
5275,Andhra Pradesh,Nellore,ANANDA RAO SOMPALLI,Independent,760
5276,Andhra Pradesh,Nellore,PANDHITI SUBBAIAH,Independent,736
5277,Andhra Pradesh,Nellore,MALLI VENKATESWARLU,Independent,686
5278,Andhra Pradesh,Nellore,NAVEEN SUKPALLI,Independent,626
5279,Andhra Pradesh,Nellore,None of the Above,None of the Above,5549
5280,Uttar Pradesh,Ghaziabad,VIJAY KUMAR SINGH,Bharatiya Janata Party,758482
5281,Uttar Pradesh,Ghaziabad,RAJ BABBAR,Indian National Congress,191222
5282,Uttar Pradesh,Ghaziabad,MUKUL,Bahujan Samaj Party,173085
5283,Uttar Pradesh,Ghaziabad,SUDHAN KUMAR,Samajwadi Party,106984
5284,Uttar Pradesh,Ghaziabad,SHAZIA ILMI MALIK,Aam Aadmi Party,89147
5285,Uttar Pradesh,Ghaziabad,SANJEEV KUMAR,Independent,4639
5286,Uttar Pradesh,Ghaziabad,SABIR,Independent,3409
5287,Uttar Pradesh,Ghaziabad,SURESH PAL,Bharatiya Sarvodaya Kranti Party,1591
5288,Uttar Pradesh,Ghaziabad,NARESH GAUTAM,Bahujan Mukti Party,1548
5289,Uttar Pradesh,Ghaziabad,SALEEM MALIK,Independent,1486
